transaction_id,timestamp,sender_id,receiver_id,amount,merchant_category,transaction_type,location,device_type,upi_channel,hour_of_day,day_of_week,risk_label,historical_avg_amount,amount_deviation,hour,day_of_week_num,day,month,is_weekend,is_night,sender_avg_amount,sender_transaction_count,amount_vs_sender_avg,sender_unique_receivers,is_high_amount,iqr_outlier
TXN000809,2026-09-18 03:14:36,USER0204,MERCHANT0018,636.35,Healthcare,P2P,Delhi,Android,BHIM,14,Tuesday,0,294.47,341.88,3,4,18,9,0,1,413.035,2,1.5406684663527304,2,0,0
TXN000439,2026-09-18 03:14:36,USER0599,MERCHANT0326,33.0,Utilities,Bill Payment,Delhi,Android,BHIM,22,Friday,0,238.16,-205.16,3,4,18,9,0,1,33.0,1,1.0,1,0,0
TXN000735,2026-09-18 03:14:36,USER0339,MERCHANT0484,507.33,Entertainment,Recharge,Pune,Web,BHIM,6,Wednesday,0,352.04,155.29,3,4,18,9,0,1,352.0433333333333,3,1.441101000823762,3,0,0
TXN000587,2026-09-18 03:14:36,USER0037,MERCHANT0165,114.51,Utilities,P2P,Bangalore,Web,PhonePe,14,Thursday,0,114.51,0.0,3,4,18,9,0,1,114.51,1,1.0,1,0,0
TXN000661,2026-09-18 03:14:36,USER0359,MERCHANT0250,102.14,Shopping,Bill Payment,Chennai,Web,BHIM,22,Wednesday,0,102.14,0.0,3,4,18,9,0,1,102.14,1,1.0,1,0,0
TXN000883,2026-09-18 03:14:36,USER0487,MERCHANT0056,111.11,Utilities,P2M,Delhi,ios,Google Pay,22,Monday,0,171.63,-60.52,3,4,18,9,0,1,111.11,1,1.0,1,0,0
TXN000920,2026-09-18 03:14:36,USER0339,MERCHANT0233,220.1,Grocery,P2P,Bangalore,ios,Paytm,14,Monday,0,352.04,-131.94,3,4,18,9,0,1,352.0433333333333,3,0.6252071241229772,3,0,0
TXN000365,2026-09-18 03:14:36,USER0112,MERCHANT0479,361.46,Food,P2P,Pune,Android,Google Pay,14,Saturday,0,206.67,154.79,3,4,18,9,0,1,206.67,2,1.748971790777568,2,0,0
TXN000994,2026-09-18 03:14:36,USER0052,MERCHANT0417,91.65,Utilities,P2M,Hyderanbad,Web,PhonePe,22,Sunday,0,113.63,-21.98,3,4,18,9,0,1,99.12,2,0.924636803874092,2,0,0
TXN000513,2026-09-18 03:14:36,USER0162,MERCHANT0160,142.74,Shopping,P2M,Delhi,Web,Google Pay,6,Friday,0,170.91,-28.17,3,4,18,9,0,1,170.91333333333333,3,0.8351601201388619,3,0,0
TXN000402,2026-09-18 03:14:36,USER0886,MERCHANT0307,99.55,Grocery,Bill Payment,Hyderanbad,ios,Google Pay,6,Saturday,0,306.88,-207.33,3,4,18,9,0,1,306.8766666666666,3,0.3243974235034705,3,0,0
TXN000069,2026-09-18 03:14:36,USER0388,MERCHANT0491,260.25,Food,P2M,Bangalore,ios,BHIM,6,Tuesday,0,260.25,0.0,3,4,18,9,0,1,260.25,1,1.0,1,0,0
TXN000550,2026-09-18 03:14:36,USER0874,MERCHANT0451,99.09,Healthcare,Recharge,Hyderanbad,Android,BHIM,22,Thursday,0,53.82,45.27,3,4,18,9,0,1,61.010000000000005,2,1.624159973774791,2,0,0
TXN000772,2026-09-18 03:14:36,USER0216,MERCHANT0026,103.29,Shopping,Bill Payment,Hyderanbad,Web,Google Pay,22,Tuesday,0,684.59,-581.3,3,4,18,9,0,1,684.5866666666667,3,0.1508793627298223,3,0,0
TXN000106,2026-09-18 03:14:36,USER0960,MERCHANT0422,271.52,Travel,Bill Payment,Mumbai,Android,BHIM,22,Monday,0,271.52,0.0,3,4,18,9,0,1,271.52,1,1.0,1,0,0
TXN000957,2026-09-18 03:14:36,USER0618,MERCHANT0279,255.37,Healthcare,P2M,Delhi,ios,BHIM,6,Monday,0,255.37,0.0,3,4,18,9,0,1,255.37,1,1.0,1,0,0
TXN000698,2026-09-18 03:14:36,USER0112,MERCHANT0272,51.88,Grocery,P2P,Mumbai,Android,BHIM,14,Wednesday,0,206.67,-154.79,3,4,18,9,0,1,206.67,2,0.2510282092224319,2,0,0
TXN000476,2026-09-18 03:14:36,USER0268,MERCHANT0423,141.31,Utilities,Bill Payment,Pune,Web,PhonePe,14,Friday,0,359.58,-218.27,3,4,18,9,0,1,359.58500000000004,2,0.3929807973080078,2,0,0
TXN000143,2026-09-18 03:14:36,USER0898,MERCHANT0143,36.33,Healthcare,Bill Payment,Bangalore,Web,PhonePe,14,Monday,0,36.33,0.0,3,4,18,9,0,1,36.33,1,1.0,1,0,0
TXN000217,2026-09-18 03:14:36,USER0737,MERCHANT0062,83.69,Shopping,Bill Payment,Delhi,Web,PhonePe,22,Sunday,0,94.21,-10.52,3,4,18,9,0,1,94.21333333333332,3,0.8883031418058308,3,0,0
TXN000254,2026-09-18 03:14:36,USER0827,MERCHANT0028,509.01,Utilities,P2P,Mumbai,Web,PhonePe,14,Sunday,0,271.3,237.71,3,4,18,9,0,1,324.32,3,1.5694684262456833,3,0,0
TXN000328,2026-09-18 03:14:36,USER0498,MERCHANT0321,400.08,Grocery,Recharge,Delhi,Web,BHIM,22,Saturday,0,267.72,132.36,3,4,18,9,0,1,310.0233333333333,3,1.290483511993721,3,0,0
TXN000291,2026-09-18 03:14:36,USER0731,MERCHANT0077,147.21,Healthcare,Bill Payment,Delhi,Web,Google Pay,6,Sunday,0,113.65,33.56,3,4,18,9,0,1,147.21,1,1.0,1,0,0
TXN000624,2026-09-18 03:14:36,USER0886,MERCHANT0226,696.05,Shopping,P2P,Mumbai,Android,Paytm,6,Thursday,0,306.88,389.17,3,4,18,9,0,1,306.8766666666666,3,2.2681750540390824,3,0,0
TXN000732,2026-09-18 04:51:54,USER0972,MERCHANT0081,68.14,Food,Bill Payment,Pune,ios,Google Pay,17,Tuesday,0,68.14,0.0,4,4,18,9,0,1,68.14,1,1.0,1,0,0
TXN000251,2026-09-18 04:51:54,USER0372,MERCHANT0141,51.37,Entertainment,Recharge,Pune,ios,BHIM,1,Sunday,1,51.37,0.0,4,4,18,9,0,1,51.37,1,1.0,1,0,0
TXN000806,2026-09-18 04:51:54,USER0318,MERCHANT0159,133.06,Healthcare,Recharge,Chennai,Web,BHIM,1,Tuesday,1,133.06,0.0,4,4,18,9,0,1,133.06,1,1.0,1,0,0
TXN000621,2026-09-18 04:51:54,USER0948,MERCHANT0052,82.23,Food,Recharge,Hyderanbad,Web,PhonePe,17,Wednesday,0,197.58,-115.35,4,4,18,9,0,1,82.23,1,1.0,1,0,0
TXN000769,2026-09-18 04:51:54,USER0001,MERCHANT0399,96.84,Food,P2M,Bangalore,ios,Google Pay,9,Tuesday,0,263.85,-167.01,4,4,18,9,0,1,96.84,1,1.0,1,0,0
TXN000177,2026-09-18 04:51:54,USER0113,MERCHANT0124,183.64,Utilities,P2M,Delhi,ios,Google Pay,17,Sunday,0,183.64,0.0,4,4,18,9,0,1,183.64,1,1.0,1,0,0
TXN000288,2026-09-18 04:51:54,USER0748,MERCHANT0352,326.46,Shopping,P2P,Delhi,ios,Paytm,17,Saturday,0,193.21,133.25,4,4,18,9,0,1,193.21,2,1.6896640960612803,2,0,0
TXN000917,2026-09-18 04:51:54,USER0066,MERCHANT0276,332.92,Food,Recharge,Chennai,Web,Google Pay,1,Monday,1,270.54,62.38,4,4,18,9,0,1,333.33000000000004,2,0.9987699876998768,2,0,0
TXN000954,2026-09-18 04:51:54,USER0753,MERCHANT0051,767.98,Utilities,Bill Payment,Chennai,ios,PhonePe,17,Sunday,0,453.9,314.08,4,4,18,9,0,1,453.905,2,1.691939943380223,2,0,1
TXN000362,2026-09-18 04:51:54,USER0348,MERCHANT0302,839.44,Healthcare,Recharge,Mumbai,ios,Google Pay,1,Saturday,1,839.44,0.0,4,4,18,9,0,1,839.44,1,1.0,1,0,1
TXN000695,2026-09-18 04:51:54,USER0986,MERCHANT0221,328.03,Food,P2P,Pune,Android,Google Pay,1,Wednesday,1,328.03,0.0,4,4,18,9,0,1,328.03,1,1.0,1,0,0
TXN000473,2026-09-18 04:51:54,USER0536,MERCHANT0207,39.84,Entertainment,Recharge,Bangalore,ios,Google Pay,1,Friday,1,39.84,0.0,4,4,18,9,0,1,39.84,1,1.0,1,0,0
TXN000140,2026-09-18 04:51:54,USER0936,MERCHANT0426,52.94,Shopping,Bill Payment,Mumbai,Web,Google Pay,1,Monday,1,52.94,0.0,4,4,18,9,0,1,52.94,1,1.0,1,0,0
TXN000029,2026-09-18 04:51:54,USER0666,MERCHANT0487,99.42,Travel,Bill Payment,Hyderanbad,Web,Google Pay,1,Tuesday,1,179.24,-79.82,4,4,18,9,0,1,179.235,2,0.5546907691020169,2,0,0
TXN000547,2026-09-18 04:51:54,USER0209,MERCHANT0307,322.81,Food,P2P,Pune,Android,Google Pay,9,Thursday,0,322.81,0.0,4,4,18,9,0,1,322.81,1,1.0,1,0,0
TXN000325,2026-09-18 04:51:54,USER0244,MERCHANT0486,66.29,Utilities,P2P,Mumbai,ios,Paytm,9,Saturday,0,66.29,0.0,4,4,18,9,0,1,66.29,1,1.0,1,0,0
TXN000991,2026-09-18 04:51:54,USER0888,MERCHANT0107,223.27,Healthcare,P2M,Bangalore,ios,BHIM,9,Sunday,0,211.51,11.76,4,4,18,9,0,1,211.51,2,1.0556002080279894,2,0,0
TXN000399,2026-09-18 04:51:54,USER0498,MERCHANT0253,161.65,Travel,Bill Payment,Delhi,Web,Paytm,17,Friday,0,267.72,-106.07,4,4,18,9,0,1,310.0233333333333,3,0.5214123668111003,3,0,0
TXN000880,2026-09-18 04:51:54,USER0163,MERCHANT0327,594.9,Travel,Recharge,Delhi,ios,Paytm,9,Monday,0,594.9,0.0,4,4,18,9,0,1,594.9,1,1.0,1,0,0
TXN000658,2026-09-18 04:51:54,USER0837,MERCHANT0368,176.95,Grocery,Bill Payment,Mumbai,ios,Paytm,9,Wednesday,0,130.72,46.23,4,4,18,9,0,1,176.95,1,1.0,1,0,0
TXN000584,2026-09-18 04:51:54,USER0926,MERCHANT0194,1755.82,Shopping,P2M,Bangalore,ios,Paytm,1,Thursday,1,1755.82,0.0,4,4,18,9,0,1,1755.82,1,1.0,1,0,1
TXN000843,2026-09-18 04:51:54,USER0225,MERCHANT0446,58.98,Entertainment,Recharge,Delhi,Web,PhonePe,17,Monday,0,147.54,-88.56,4,4,18,9,0,1,201.85,2,0.2921971761208818,2,0,0
TXN000436,2026-09-18 04:51:54,USER0322,MERCHANT0093,195.21,Shopping,Bill Payment,Mumbai,ios,BHIM,9,Friday,0,257.26,-62.05,4,4,18,9,0,1,264.95666666666665,3,0.7367619862367432,3,0,0
TXN000066,2026-09-18 04:51:54,USER0128,MERCHANT0295,703.62,Grocery,P2M,Pune,Android,PhonePe,17,Monday,0,601.75,101.87,4,4,18,9,0,1,703.62,1,1.0,1,0,0
TXN000214,2026-09-18 04:51:54,USER0977,MERCHANT0157,347.72,Travel,P2P,Mumbai,Android,PhonePe,9,Sunday,0,204.81,142.91,4,4,18,9,0,1,220.62,2,1.576103707732753,2,0,0
TXN000103,2026-09-18 04:51:54,USER0687,MERCHANT0007,128.67,Shopping,P2P,Bangalore,Web,BHIM,9,Monday,0,156.65,-27.98,4,4,18,9,0,1,128.67,1,1.0,1,0,0
TXN000510,2026-09-18 04:51:54,USER0251,MERCHANT0123,78.97,Entertainment,P2M,Hyderanbad,Android,BHIM,17,Thursday,0,285.6,-206.63,4,4,18,9,0,1,424.71,2,0.185938640484095,2,0,0
TXN000729,2026-09-18 06:29:12,USER0373,MERCHANT0148,105.66,Healthcare,P2P,Hyderanbad,Android,Paytm,4,Tuesday,1,105.66,0.0,6,4,18,9,0,0,105.66,1,1.0,1,0,0
TXN000322,2026-09-18 06:29:12,USER0339,MERCHANT0492,328.7,Grocery,Recharge,Pune,Web,Paytm,20,Friday,0,352.04,-23.34,6,4,18,9,0,0,352.0433333333333,3,0.9336918750532603,3,0,0
TXN000655,2026-09-18 06:29:12,USER0482,MERCHANT0489,2376.44,Travel,Recharge,Delhi,ios,Paytm,20,Tuesday,0,2376.44,0.0,6,4,18,9,0,0,2376.44,1,1.0,1,0,1
TXN000692,2026-09-18 06:29:12,USER0268,MERCHANT0151,577.86,Utilities,Bill Payment,Bangalore,Android,Paytm,12,Tuesday,0,359.58,218.28,6,4,18,9,0,0,359.58500000000004,2,1.607019202691992,2,0,0
TXN000285,2026-09-18 06:29:12,USER0952,MERCHANT0038,1530.02,Healthcare,Bill Payment,Bangalore,Android,Paytm,4,Saturday,1,746.52,783.5,6,4,18,9,0,0,1530.02,1,1.0,1,0,1
TXN000211,2026-09-18 06:29:12,USER0162,MERCHANT0360,320.82,Food,P2P,Mumbai,Android,Paytm,20,Saturday,0,170.91,149.91,6,4,18,9,0,0,170.91333333333333,3,1.8770917033974333,3,0,0
TXN000396,2026-09-18 06:29:12,USER0243,MERCHANT0140,113.39,Utilities,P2M,Hyderanbad,Web,Paytm,4,Friday,1,651.89,-538.5,6,4,18,9,0,0,113.39,1,1.0,1,0,0
TXN000988,2026-09-18 06:29:12,USER0659,MERCHANT0425,435.88,Entertainment,P2M,Chennai,Web,BHIM,20,Saturday,0,346.1,89.78,6,4,18,9,0,0,435.88,1,1.0,1,0,0
TXN000100,2026-09-18 06:29:12,USER0380,MERCHANT0260,143.37,Travel,P2M,Mumbai,Android,Paytm,20,Sunday,0,143.37,0.0,6,4,18,9,0,0,143.37,1,1.0,1,0,0
TXN000063,2026-09-18 06:29:12,USER0748,MERCHANT0014,59.96,Entertainment,Recharge,Mumbai,ios,PhonePe,4,Monday,1,193.21,-133.25,6,4,18,9,0,0,193.21,2,0.3103359039387195,2,0,0
TXN000951,2026-09-18 06:29:12,USER0430,MERCHANT0121,142.42,Grocery,Bill Payment,Delhi,ios,BHIM,4,Sunday,1,468.18,-325.76,6,4,18,9,0,0,648.955,2,0.2194605172931867,2,0,0
TXN000544,2026-09-18 06:29:12,USER0216,MERCHANT0197,766.3,Travel,P2M,Bangalore,Web,PhonePe,20,Wednesday,0,684.59,81.71,6,4,18,9,0,0,684.5866666666667,3,1.119361561234029,3,0,1
TXN000137,2026-09-18 06:29:12,USER0275,MERCHANT0166,82.83,Entertainment,Bill Payment,Chennai,Android,PhonePe,12,Sunday,0,82.83,0.0,6,4,18,9,0,0,82.83,1,1.0,1,0,0
TXN000470,2026-09-18 06:29:12,USER0674,MERCHANT0060,101.92,Travel,Recharge,Pune,Web,Google Pay,12,Thursday,0,101.92,0.0,6,4,18,9,0,0,101.92,1,1.0,1,0,0
TXN000914,2026-09-18 06:29:12,USER0157,MERCHANT0050,877.83,Healthcare,Bill Payment,Hyderanbad,Web,Google Pay,12,Sunday,0,582.61,295.22,6,4,18,9,0,0,877.83,1,1.0,1,0,1
TXN000174,2026-09-18 06:29:12,USER0774,MERCHANT0486,254.97,Utilities,Bill Payment,Pune,Android,Paytm,4,Sunday,1,177.91,77.06,6,4,18,9,0,0,254.97,1,1.0,1,0,0
