transaction_id,timestamp,sender_id,receiver_id,amount,merchant_category,transaction_type,location,device_type,upi_channel,hour_of_day,day_of_week,risk_label,historical_avg_amount,amount_deviation,hour,day_of_week_num,day,month,is_weekend,is_night,sender_avg_amount,sender_transaction_count,amount_vs_sender_avg,sender_unique_receivers,is_high_amount,iqr_outlier,isolation_forest_prediction,isolation_forest_anomaly,isolation_forest_score
TXN000704,2026-09-18 00:00:00,USER0322,MERCHANT0088,44.32,Food,Recharge,Chennai,Web,BHIM,16,Thursday,0,257.26,-212.94,0,4,18,9,0,1,264.95666666666665,3,0.1672726357769195,3,0,0,1,0,0.003028103931751347
TXN000741,2026-09-18 00:00:00,USER0738,MERCHANT0218,28.76,Shopping,P2P,Bangalore,Web,BHIM,8,Thursday,0,28.76,0.0,0,4,18,9,0,1,28.76,1,1.0,1,0,0,1,0,0.132373520179214
TXN000778,2026-09-18 00:00:00,USER0330,MERCHANT0463,141.53,Shopping,P2M,Mumbai,Android,PhonePe,0,Thursday,1,141.53,0.0,0,4,18,9,0,1,141.53,1,1.0,1,0,0,1,0,0.17430964758105705
TXN000815,2026-09-18 00:00:00,USER0626,MERCHANT0466,508.69,Utilities,P2P,Bangalore,Android,BHIM,16,Wednesday,0,508.69,0.0,0,4,18,9,0,1,508.69,1,1.0,1,0,0,1,0,0.09824731871707004
TXN000852,2026-09-18 00:00:00,USER0256,MERCHANT0495,104.01,Healthcare,P2P,Pune,ios,Google Pay,8,Wednesday,0,80.12,23.89,0,4,18,9,0,1,104.01,1,1.0,1,0,0,1,0,0.17976301103018916
TXN000889,2026-09-18 00:00:00,USER0653,MERCHANT0453,327.23,Entertainment,Bill Payment,Bangalore,Web,Paytm,0,Wednesday,1,177.58,149.65,0,4,18,9,0,1,177.57500000000002,2,1.8427706602843867,2,0,0,1,0,0.09245142984693921
TXN000926,2026-09-18 00:00:00,USER0853,MERCHANT0485,39.52,Shopping,Recharge,Bangalore,ios,BHIM,16,Tuesday,0,39.52,0.0,0,4,18,9,0,1,39.52,1,1.0,1,0,0,1,0,0.14680396954267688
TXN000963,2026-09-18 00:00:00,USER0447,MERCHANT0142,220.64,Shopping,P2P,Hyderanbad,Web,BHIM,8,Tuesday,0,268.41,-47.77,0,4,18,9,0,1,129.43,2,1.7047052460789611,2,0,0,1,0,0.10853075460017336
TXN000112,2026-09-18 00:00:00,USER0176,MERCHANT0326,176.53,Shopping,Bill Payment,Hyderanbad,Web,BHIM,0,Wednesday,1,176.53,0.0,0,4,18,9,0,1,176.53,1,1.0,1,0,0,1,0,0.16915070251468473
TXN000075,2026-09-18 00:00:00,USER0634,MERCHANT0039,13.2,Utilities,Recharge,Bangalore,ios,PhonePe,8,Wednesday,0,13.2,0.0,0,4,18,9,0,1,13.2,1,1.0,1,0,0,1,0,0.11583588434864867
TXN001000,2026-09-18 00:00:00,USER0335,MERCHANT0404,321.37,Food,Recharge,Delhi,Web,BHIM,0,Tuesday,1,203.27,118.1,0,4,18,9,0,1,203.27,2,1.5810006395434644,2,0,0,1,0,0.11592525485672056
TXN000038,2026-09-18 00:00:00,USER0891,MERCHANT0243,25.54,Utilities,Recharge,Pune,ios,Paytm,16,Wednesday,0,25.54,0.0,0,4,18,9,0,1,25.54,1,1.0,1,0,0,1,0,0.12999745594632972
TXN000220,2026-09-18 01:37:18,USER0513,MERCHANT0162,196.74,Shopping,P2M,Chennai,Android,Paytm,11,Monday,1,196.74,0.0,1,4,18,9,0,1,196.74,1,1.0,1,0,0,1,0,0.17945189483162016
TXN000405,2026-09-18 01:37:18,USER0061,MERCHANT0222,115.58,Shopping,Recharge,Mumbai,Web,Paytm,19,Saturday,0,150.35,-34.77,1,4,18,9,0,1,150.35,2,0.768739607582308,2,0,0,1,0,0.11117837255656127
TXN000590,2026-09-18 01:37:18,USER0597,MERCHANT0358,77.01,Food,P2M,Bangalore,ios,BHIM,3,Friday,1,77.01,0.0,1,4,18,9,0,1,77.01,1,1.0,1,0,0,1,0,0.17423425958976707
TXN000479,2026-09-18 01:37:18,USER0734,MERCHANT0446,3939.78,Shopping,P2P,Mumbai,ios,Paytm,3,Saturday,1,2101.86,1837.92,1,4,18,9,0,1,3939.78,1,1.0,1,0,1,-1,1,-0.11421746488113538
TXN000923,2026-09-18 01:37:18,USER0426,MERCHANT0487,207.05,Healthcare,P2P,Bangalore,Web,BHIM,3,Tuesday,1,207.05,0.0,1,4,18,9,0,1,207.05,1,1.0,1,0,0,1,0,0.1788739558669757
TXN000257,2026-09-18 01:37:18,USER0060,MERCHANT0358,643.49,Grocery,Recharge,Delhi,Android,PhonePe,3,Monday,1,337.36,306.13,1,4,18,9,0,1,337.36,2,1.9074282665401945,2,0,0,1,0,0.07344990292347187
TXN000775,2026-09-18 01:37:18,USER0594,MERCHANT0382,337.58,Healthcare,P2M,Mumbai,Android,Google Pay,11,Wednesday,0,196.55,141.03,1,4,18,9,0,1,337.58,1,1.0,1,0,0,1,0,0.1637834976441071
TXN000701,2026-09-18 01:37:18,USER0354,MERCHANT0350,107.48,Food,Recharge,Chennai,Web,PhonePe,3,Thursday,1,107.48,0.0,1,4,18,9,0,1,107.48,1,1.0,1,0,0,1,0,0.18706910180341907
TXN000738,2026-09-18 01:37:18,USER0680,MERCHANT0154,484.29,Utilities,Recharge,Pune,ios,Paytm,19,Wednesday,0,412.99,71.3,1,4,18,9,0,1,359.66,2,1.346521714953011,2,0,0,1,0,0.10599447633428183
TXN000627,2026-09-18 01:37:18,USER0820,MERCHANT0467,67.38,Grocery,P2M,Pune,Android,PhonePe,19,Thursday,0,261.35,-193.97,1,4,18,9,0,1,67.38,1,1.0,1,0,0,1,0,0.1715377275462956
TXN000146,2026-09-18 01:37:18,USER0218,MERCHANT0125,396.16,Entertainment,Recharge,Mumbai,Web,Paytm,3,Tuesday,1,396.16,0.0,1,4,18,9,0,1,396.16,1,1.0,1,0,0,1,0,0.1611450487301389
TXN000553,2026-09-18 01:37:18,USER0501,MERCHANT0036,582.76,Food,Recharge,Hyderanbad,ios,Paytm,11,Friday,0,347.75,235.01,1,4,18,9,0,1,582.76,1,1.0,1,0,0,1,0,0.1095061687160872
TXN000331,2026-09-18 01:37:18,USER0136,MERCHANT0339,179.07,Shopping,Recharge,Mumbai,Android,Google Pay,11,Sunday,0,248.68,-69.61,1,4,18,9,0,1,248.68,2,0.7200820331349524,2,0,0,1,0,0.11498316036512357
TXN000368,2026-09-18 01:37:18,USER0195,MERCHANT0059,183.57,Travel,Recharge,Pune,Web,PhonePe,3,Sunday,1,323.03,-139.46,1,4,18,9,0,1,183.57,1,1.0,1,0,0,1,0,0.18134860251362223
TXN000294,2026-09-18 01:37:18,USER0688,MERCHANT0486,423.94,Travel,Bill Payment,Pune,ios,Paytm,19,Sunday,0,254.51,169.43,1,4,18,9,0,1,423.94,1,1.0,1,0,0,1,0,0.15359927517322847
TXN000183,2026-09-18 01:37:18,USER0433,MERCHANT0124,62.12,Utilities,P2M,Chennai,Android,Google Pay,19,Monday,0,140.09,-77.97,1,4,18,9,0,1,142.07666666666668,3,0.4372287262745465,3,0,0,1,0,0.029148393284075924
TXN000664,2026-09-18 01:37:18,USER0815,MERCHANT0019,105.27,Food,Recharge,Pune,Web,BHIM,11,Thursday,0,105.27,0.0,1,4,18,9,0,1,105.27,1,1.0,1,0,0,1,0,0.18795661016806048
TXN000849,2026-09-18 01:37:18,USER0476,MERCHANT0039,95.8,Travel,P2P,Hyderanbad,Android,Google Pay,19,Tuesday,0,100.07,-4.27,1,4,18,9,0,1,100.075,2,0.9572820384711468,2,0,0,1,0,0.11535910675977268
TXN000072,2026-09-18 01:37:18,USER0301,MERCHANT0483,843.9,Shopping,Recharge,Chennai,Web,BHIM,19,Tuesday,0,573.65,270.25,1,4,18,9,0,1,843.9,1,1.0,1,0,1,1,0,0.06322122271520692
TXN000997,2026-09-18 01:37:18,USER0336,MERCHANT0169,1094.1,Healthcare,P2M,Chennai,ios,PhonePe,11,Monday,0,1094.1,0.0,1,4,18,9,0,1,1094.1,1,1.0,1,0,1,1,0,0.03140377085768564
TXN000812,2026-09-18 01:37:18,USER0048,MERCHANT0375,116.78,Travel,P2P,Delhi,Web,PhonePe,3,Wednesday,1,116.78,0.0,1,4,18,9,0,1,116.78,1,1.0,1,0,0,1,0,0.1884873963782317
TXN000109,2026-09-18 01:37:18,USER0074,MERCHANT0222,234.52,Grocery,P2P,Bangalore,ios,BHIM,11,Tuesday,0,234.52,0.0,1,4,18,9,0,1,234.52,1,1.0,1,0,0,1,0,0.17479185509237832
TXN000516,2026-09-18 01:37:18,USER0557,MERCHANT0283,385.83,Shopping,Recharge,Pune,Web,Paytm,19,Friday,0,385.83,0.0,1,4,18,9,0,1,385.83,1,1.0,1,0,0,1,0,0.1621754885123151
TXN000886,2026-09-18 01:37:18,USER0770,MERCHANT0242,1149.07,Shopping,Bill Payment,Mumbai,Web,Google Pay,11,Tuesday,0,509.49,639.58,1,4,18,9,0,1,674.3149999999999,2,1.7040552264149544,2,0,1,1,0,0.0359492763853585
TXN000442,2026-09-18 01:37:18,USER0942,MERCHANT0497,175.44,Grocery,P2P,Pune,Web,Paytm,11,Saturday,0,101.42,74.02,1,4,18,9,0,1,101.42,2,1.729836324196411,2,0,0,1,0,0.1060341681210556
TXN000960,2026-09-18 01:37:18,USER0500,MERCHANT0184,283.64,Utilities,Bill Payment,Hyderanbad,Android,BHIM,19,Monday,0,283.64,0.0,1,4,18,9,0,1,283.64,1,1.0,1,0,0,1,0,0.17122122901310022
TXN000035,2026-09-18 01:37:18,USER0604,MERCHANT0079,412.63,Travel,P2P,Delhi,Web,Google Pay,3,Wednesday,1,412.63,0.0,1,4,18,9,0,1,412.63,1,1.0,1,0,0,1,0,0.15767028844513897
TXN000032,2026-09-18 03:14:36,USER0430,MERCHANT0430,1155.49,Entertainment,Recharge,Pune,Android,PhonePe,14,Tuesday,0,468.18,687.31,3,4,18,9,0,1,648.955,2,1.780539482706813,2,0,1,1,0,0.031874115627694044
TXN000180,2026-09-18 03:14:36,USER0164,MERCHANT0251,2752.24,Entertainment,P2M,Pune,Web,BHIM,6,Monday,0,993.21,1759.03,3,4,18,9,0,1,1483.6999999999998,2,1.854984161218576,2,0,1,-1,1,-0.06615632992088494
TXN000846,2026-09-18 03:14:36,USER0981,MERCHANT0059,296.62,Grocery,Recharge,Bangalore,ios,Google Pay,6,Tuesday,0,251.91,44.71,3,4,18,9,0,1,250.06,2,1.18619531312485,2,0,0,1,0,0.13736626009042535
TXN000809,2026-09-18 03:14:36,USER0204,MERCHANT0018,636.35,Healthcare,P2P,Delhi,Android,BHIM,14,Tuesday,0,294.47,341.88,3,4,18,9,0,1,413.035,2,1.5406684663527304,2,0,0,1,0,0.09618784884661646
TXN000439,2026-09-18 03:14:36,USER0599,MERCHANT0326,33.0,Utilities,Bill Payment,Delhi,Android,BHIM,22,Friday,0,238.16,-205.16,3,4,18,9,0,1,33.0,1,1.0,1,0,0,1,0,0.14348069818102605
TXN000735,2026-09-18 03:14:36,USER0339,MERCHANT0484,507.33,Entertainment,Recharge,Pune,Web,BHIM,6,Wednesday,0,352.04,155.29,3,4,18,9,0,1,352.0433333333333,3,1.441101000823762,3,0,0,1,0,0.04421942900053455
TXN000587,2026-09-18 03:14:36,USER0037,MERCHANT0165,114.51,Utilities,P2P,Bangalore,Web,PhonePe,14,Thursday,0,114.51,0.0,3,4,18,9,0,1,114.51,1,1.0,1,0,0,1,0,0.18054413941396652
TXN000661,2026-09-18 03:14:36,USER0359,MERCHANT0250,102.14,Shopping,Bill Payment,Chennai,Web,BHIM,22,Wednesday,0,102.14,0.0,3,4,18,9,0,1,102.14,1,1.0,1,0,0,1,0,0.18109268671337725
TXN000883,2026-09-18 03:14:36,USER0487,MERCHANT0056,111.11,Utilities,P2M,Delhi,ios,Google Pay,22,Monday,0,171.63,-60.52,3,4,18,9,0,1,111.11,1,1.0,1,0,0,1,0,0.18119074500359456
TXN000920,2026-09-18 03:14:36,USER0339,MERCHANT0233,220.1,Grocery,P2P,Bangalore,ios,Paytm,14,Monday,0,352.04,-131.94,3,4,18,9,0,1,352.0433333333333,3,0.6252071241229772,3,0,0,1,0,0.058093851755879555
TXN000365,2026-09-18 03:14:36,USER0112,MERCHANT0479,361.46,Food,P2P,Pune,Android,Google Pay,14,Saturday,0,206.67,154.79,3,4,18,9,0,1,206.67,2,1.748971790777568,2,0,0,1,0,0.11649084034177493
TXN000994,2026-09-18 03:14:36,USER0052,MERCHANT0417,91.65,Utilities,P2M,Hyderanbad,Web,PhonePe,22,Sunday,0,113.63,-21.98,3,4,18,9,0,1,99.12,2,0.924636803874092,2,0,0,1,0,0.12793010877069988
TXN000513,2026-09-18 03:14:36,USER0162,MERCHANT0160,142.74,Shopping,P2M,Delhi,Web,Google Pay,6,Friday,0,170.91,-28.17,3,4,18,9,0,1,170.91333333333333,3,0.8351601201388619,3,0,0,1,0,0.06481780698733686
TXN000402,2026-09-18 03:14:36,USER0886,MERCHANT0307,99.55,Grocery,Bill Payment,Hyderanbad,ios,Google Pay,6,Saturday,0,306.88,-207.33,3,4,18,9,0,1,306.8766666666666,3,0.3243974235034705,3,0,0,1,0,0.061209305834446615
TXN000069,2026-09-18 03:14:36,USER0388,MERCHANT0491,260.25,Food,P2M,Bangalore,ios,BHIM,6,Tuesday,0,260.25,0.0,3,4,18,9,0,1,260.25,1,1.0,1,0,0,1,0,0.15820015590660663
TXN000550,2026-09-18 03:14:36,USER0874,MERCHANT0451,99.09,Healthcare,Recharge,Hyderanbad,Android,BHIM,22,Thursday,0,53.82,45.27,3,4,18,9,0,1,61.010000000000005,2,1.624159973774791,2,0,0,1,0,0.10178844631105322
TXN000772,2026-09-18 03:14:36,USER0216,MERCHANT0026,103.29,Shopping,Bill Payment,Hyderanbad,Web,Google Pay,22,Tuesday,0,684.59,-581.3,3,4,18,9,0,1,684.5866666666667,3,0.1508793627298223,3,0,0,1,0,0.00041107945968454906
TXN000106,2026-09-18 03:14:36,USER0960,MERCHANT0422,271.52,Travel,Bill Payment,Mumbai,Android,BHIM,22,Monday,0,271.52,0.0,3,4,18,9,0,1,271.52,1,1.0,1,0,0,1,0,0.1587583264323944
TXN000957,2026-09-18 03:14:36,USER0618,MERCHANT0279,255.37,Healthcare,P2M,Delhi,ios,BHIM,6,Monday,0,255.37,0.0,3,4,18,9,0,1,255.37,1,1.0,1,0,0,1,0,0.15881837286077194
TXN000698,2026-09-18 03:14:36,USER0112,MERCHANT0272,51.88,Grocery,P2P,Mumbai,Android,BHIM,14,Wednesday,0,206.67,-154.79,3,4,18,9,0,1,206.67,2,0.2510282092224319,2,0,0,1,0,0.087205808399758
TXN000476,2026-09-18 03:14:36,USER0268,MERCHANT0423,141.31,Utilities,Bill Payment,Pune,Web,PhonePe,14,Friday,0,359.58,-218.27,3,4,18,9,0,1,359.58500000000004,2,0.3929807973080078,2,0,0,1,0,0.09608122424420085
TXN000143,2026-09-18 03:14:36,USER0898,MERCHANT0143,36.33,Healthcare,Bill Payment,Bangalore,Web,PhonePe,14,Monday,0,36.33,0.0,3,4,18,9,0,1,36.33,1,1.0,1,0,0,1,0,0.14767060288518563
TXN000217,2026-09-18 03:14:36,USER0737,MERCHANT0062,83.69,Shopping,Bill Payment,Delhi,Web,PhonePe,22,Sunday,0,94.21,-10.52,3,4,18,9,0,1,94.21333333333332,3,0.8883031418058308,3,0,0,1,0,0.04460766908182057
TXN000254,2026-09-18 03:14:36,USER0827,MERCHANT0028,509.01,Utilities,P2P,Mumbai,Web,PhonePe,14,Sunday,0,271.3,237.71,3,4,18,9,0,1,324.32,3,1.5694684262456833,3,0,0,1,0,0.04032603114552635
TXN000328,2026-09-18 03:14:36,USER0498,MERCHANT0321,400.08,Grocery,Recharge,Delhi,Web,BHIM,22,Saturday,0,267.72,132.36,3,4,18,9,0,1,310.0233333333333,3,1.290483511993721,3,0,0,1,0,0.05596724753867999
TXN000291,2026-09-18 03:14:36,USER0731,MERCHANT0077,147.21,Healthcare,Bill Payment,Delhi,Web,Google Pay,6,Sunday,0,113.65,33.56,3,4,18,9,0,1,147.21,1,1.0,1,0,0,1,0,0.16751777795758593
TXN000624,2026-09-18 03:14:36,USER0886,MERCHANT0226,696.05,Shopping,P2P,Mumbai,Android,Paytm,6,Thursday,0,306.88,389.17,3,4,18,9,0,1,306.8766666666666,3,2.2681750540390824,3,0,0,-1,1,-0.008705393237701142
TXN000732,2026-09-18 04:51:54,USER0972,MERCHANT0081,68.14,Food,Bill Payment,Pune,ios,Google Pay,17,Tuesday,0,68.14,0.0,4,4,18,9,0,1,68.14,1,1.0,1,0,0,1,0,0.17375097760511043
TXN000251,2026-09-18 04:51:54,USER0372,MERCHANT0141,51.37,Entertainment,Recharge,Pune,ios,BHIM,1,Sunday,1,51.37,0.0,4,4,18,9,0,1,51.37,1,1.0,1,0,0,1,0,0.1595541384978728
TXN000806,2026-09-18 04:51:54,USER0318,MERCHANT0159,133.06,Healthcare,Recharge,Chennai,Web,BHIM,1,Tuesday,1,133.06,0.0,4,4,18,9,0,1,133.06,1,1.0,1,0,0,1,0,0.17503029490515365
TXN000621,2026-09-18 04:51:54,USER0948,MERCHANT0052,82.23,Food,Recharge,Hyderanbad,Web,PhonePe,17,Wednesday,0,197.58,-115.35,4,4,18,9,0,1,82.23,1,1.0,1,0,0,1,0,0.17296628570129136
TXN000769,2026-09-18 04:51:54,USER0001,MERCHANT0399,96.84,Food,P2M,Bangalore,ios,Google Pay,9,Tuesday,0,263.85,-167.01,4,4,18,9,0,1,96.84,1,1.0,1,0,0,1,0,0.17695311325593588
TXN000177,2026-09-18 04:51:54,USER0113,MERCHANT0124,183.64,Utilities,P2M,Delhi,ios,Google Pay,17,Sunday,0,183.64,0.0,4,4,18,9,0,1,183.64,1,1.0,1,0,0,1,0,0.16453711163154494
TXN000288,2026-09-18 04:51:54,USER0748,MERCHANT0352,326.46,Shopping,P2P,Delhi,ios,Paytm,17,Saturday,0,193.21,133.25,4,4,18,9,0,1,193.21,2,1.6896640960612803,2,0,0,1,0,0.1182702839936649
TXN000917,2026-09-18 04:51:54,USER0066,MERCHANT0276,332.92,Food,Recharge,Chennai,Web,Google Pay,1,Monday,1,270.54,62.38,4,4,18,9,0,1,333.33000000000004,2,0.9987699876998768,2,0,0,1,0,0.13067262768833532
TXN000954,2026-09-18 04:51:54,USER0753,MERCHANT0051,767.98,Utilities,Bill Payment,Chennai,ios,PhonePe,17,Sunday,0,453.9,314.08,4,4,18,9,0,1,453.905,2,1.691939943380223,2,0,1,1,0,0.07332053559807639
TXN000362,2026-09-18 04:51:54,USER0348,MERCHANT0302,839.44,Healthcare,Recharge,Mumbai,ios,Google Pay,1,Saturday,1,839.44,0.0,4,4,18,9,0,1,839.44,1,1.0,1,0,1,1,0,0.057399724095577365
TXN000695,2026-09-18 04:51:54,USER0986,MERCHANT0221,328.03,Food,P2P,Pune,Android,Google Pay,1,Wednesday,1,328.03,0.0,4,4,18,9,0,1,328.03,1,1.0,1,0,0,1,0,0.13766736663576
TXN000473,2026-09-18 04:51:54,USER0536,MERCHANT0207,39.84,Entertainment,Recharge,Bangalore,ios,Google Pay,1,Friday,1,39.84,0.0,4,4,18,9,0,1,39.84,1,1.0,1,0,0,1,0,0.1501157752987749
TXN000140,2026-09-18 04:51:54,USER0936,MERCHANT0426,52.94,Shopping,Bill Payment,Mumbai,Web,Google Pay,1,Monday,1,52.94,0.0,4,4,18,9,0,1,52.94,1,1.0,1,0,0,1,0,0.16018753896699722
TXN000029,2026-09-18 04:51:54,USER0666,MERCHANT0487,99.42,Travel,Bill Payment,Hyderanbad,Web,Google Pay,1,Tuesday,1,179.24,-79.82,4,4,18,9,0,1,179.235,2,0.5546907691020169,2,0,0,1,0,0.11003234247557903
TXN000547,2026-09-18 04:51:54,USER0209,MERCHANT0307,322.81,Food,P2P,Pune,Android,Google Pay,9,Thursday,0,322.81,0.0,4,4,18,9,0,1,322.81,1,1.0,1,0,0,1,0,0.13911625092509006
TXN000325,2026-09-18 04:51:54,USER0244,MERCHANT0486,66.29,Utilities,P2P,Mumbai,ios,Paytm,9,Saturday,0,66.29,0.0,4,4,18,9,0,1,66.29,1,1.0,1,0,0,1,0,0.17299568644678648
TXN000991,2026-09-18 04:51:54,USER0888,MERCHANT0107,223.27,Healthcare,P2M,Bangalore,ios,BHIM,9,Sunday,0,211.51,11.76,4,4,18,9,0,1,211.51,2,1.0556002080279894,2,0,0,1,0,0.1414506502678184
TXN000399,2026-09-18 04:51:54,USER0498,MERCHANT0253,161.65,Travel,Bill Payment,Delhi,Web,Paytm,17,Friday,0,267.72,-106.07,4,4,18,9,0,1,310.0233333333333,3,0.5214123668111003,3,0,0,1,0,0.051521551007192135
TXN000880,2026-09-18 04:51:54,USER0163,MERCHANT0327,594.9,Travel,Recharge,Delhi,ios,Paytm,9,Monday,0,594.9,0.0,4,4,18,9,0,1,594.9,1,1.0,1,0,0,1,0,0.09665484143840519
TXN000658,2026-09-18 04:51:54,USER0837,MERCHANT0368,176.95,Grocery,Bill Payment,Mumbai,ios,Paytm,9,Wednesday,0,130.72,46.23,4,4,18,9,0,1,176.95,1,1.0,1,0,0,1,0,0.16634868498643968
TXN000584,2026-09-18 04:51:54,USER0926,MERCHANT0194,1755.82,Shopping,P2M,Bangalore,ios,Paytm,1,Thursday,1,1755.82,0.0,4,4,18,9,0,1,1755.82,1,1.0,1,0,1,-1,1,-0.02960976195676046
TXN000843,2026-09-18 04:51:54,USER0225,MERCHANT0446,58.98,Entertainment,Recharge,Delhi,Web,PhonePe,17,Monday,0,147.54,-88.56,4,4,18,9,0,1,201.85,2,0.2921971761208818,2,0,0,1,0,0.09340043856617064
TXN000436,2026-09-18 04:51:54,USER0322,MERCHANT0093,195.21,Shopping,Bill Payment,Mumbai,ios,BHIM,9,Friday,0,257.26,-62.05,4,4,18,9,0,1,264.95666666666665,3,0.7367619862367432,3,0,0,1,0,0.049640420862012924
TXN000066,2026-09-18 04:51:54,USER0128,MERCHANT0295,703.62,Grocery,P2M,Pune,Android,PhonePe,17,Monday,0,601.75,101.87,4,4,18,9,0,1,703.62,1,1.0,1,0,0,1,0,0.08042228105948246
TXN000214,2026-09-18 04:51:54,USER0977,MERCHANT0157,347.72,Travel,P2P,Mumbai,Android,PhonePe,9,Sunday,0,204.81,142.91,4,4,18,9,0,1,220.62,2,1.576103707732753,2,0,0,1,0,0.11952952754886703
TXN000103,2026-09-18 04:51:54,USER0687,MERCHANT0007,128.67,Shopping,P2P,Bangalore,Web,BHIM,9,Monday,0,156.65,-27.98,4,4,18,9,0,1,128.67,1,1.0,1,0,0,1,0,0.1764116174081397
TXN000510,2026-09-18 04:51:54,USER0251,MERCHANT0123,78.97,Entertainment,P2M,Hyderanbad,Android,BHIM,17,Thursday,0,285.6,-206.63,4,4,18,9,0,1,424.71,2,0.185938640484095,2,0,0,1,0,0.07000621761190051
TXN000729,2026-09-18 06:29:12,USER0373,MERCHANT0148,105.66,Healthcare,P2P,Hyderanbad,Android,Paytm,4,Tuesday,1,105.66,0.0,6,4,18,9,0,0,105.66,1,1.0,1,0,0,1,0,0.2246311496908211
TXN000322,2026-09-18 06:29:12,USER0339,MERCHANT0492,328.7,Grocery,Recharge,Pune,Web,Paytm,20,Friday,0,352.04,-23.34,6,4,18,9,0,0,352.0433333333333,3,0.9336918750532603,3,0,0,1,0,0.04766677607816361
