transaction_id,timestamp,sender_id,receiver_id,amount,merchant_category,transaction_type,location,device_type,upi_channel,hour_of_day,day_of_week,risk_label,historical_avg_amount,amount_deviation
TXN000038,00:00.0,USER0891,MERCHANT0243,25.54,Utilities,Recharge,Pune,ios,Paytm,16,Wednesday,0,25.54,0
TXN000039,19:27.6,USER0007,MERCHANT0343,48.03,Utilities,Recharge,Bangalore,Web,PhonePe,20,Wednesday,0,49.21,-1.18
TXN000040,38:55.1,USER0778,MERCHANT0059,220.71,Grocery,Recharge,Bangalore,ios,Google Pay,0,Thursday,1,220.71,0
TXN000041,58:22.7,USER0826,MERCHANT0289,379.35,Travel,Recharge,Mumbai,ios,BHIM,4,Thursday,1,220.97,158.38
TXN000042,17:50.3,USER0164,MERCHANT0486,215.16,Utilities,P2M,Pune,Android,BHIM,9,Thursday,0,993.21,-778.05
TXN000043,37:17.8,USER0715,MERCHANT0112,161.48,Food,Bill Payment,Bangalore,Android,BHIM,13,Thursday,0,161.48,0
TXN000044,56:45.4,USER0433,MERCHANT0239,134.14,Utilities,P2M,Chennai,Android,Google Pay,17,Thursday,0,140.09,-5.95
TXN000045,16:13.0,USER0349,MERCHANT0359,41.33,Grocery,Bill Payment,Hyderanbad,Android,Google Pay,22,Thursday,0,172.36,-131.03
TXN000046,35:40.5,USER0285,MERCHANT0132,88.25,Entertainment,Bill Payment,Mumbai,ios,BHIM,2,Friday,1,90.78,-2.53
TXN000047,55:08.1,USER0160,MERCHANT0393,114.36,Healthcare,Bill Payment,Hyderanbad,ios,Google Pay,6,Friday,0,108.08,6.28
TXN000048,14:35.7,USER0221,MERCHANT0189,521.72,Healthcare,Recharge,Mumbai,Web,Google Pay,11,Friday,0,521.72,0
TXN000049,34:03.2,USER0981,MERCHANT0086,255.6,Entertainment,P2M,Delhi,ios,Paytm,15,Friday,0,251.91,3.69
TXN000050,53:30.8,USER0782,MERCHANT0311,31.09,Utilities,Bill Payment,Delhi,Android,Google Pay,19,Friday,0,31.09,0
TXN000051,12:58.4,USER0345,MERCHANT0311,250.66,Shopping,P2P,Pune,ios,Paytm,0,Saturday,1,171.42,79.24
TXN000052,32:25.9,USER0105,MERCHANT0494,123.34,Travel,Bill Payment,Bangalore,Web,BHIM,4,Saturday,1,217.6,-94.26
TXN000053,51:53.5,USER0095,MERCHANT0383,92.12,Entertainment,P2M,Hyderanbad,Android,PhonePe,8,Saturday,0,180.52,-88.4
TXN000054,11:21.1,USER0390,MERCHANT0368,334.18,Grocery,Recharge,Bangalore,Android,Google Pay,13,Saturday,0,218.44,115.74
TXN000055,30:48.6,USER0100,MERCHANT0059,508.26,Grocery,P2P,Delhi,ios,BHIM,17,Saturday,0,310.72,197.54
TXN000056,50:16.2,USER0368,MERCHANT0399,460.02,Travel,Bill Payment,Hyderanbad,ios,BHIM,21,Saturday,0,460.02,0
TXN000057,09:43.8,USER0868,MERCHANT0420,78.32,Healthcare,Recharge,Chennai,Web,Google Pay,2,Sunday,1,78.32,0
TXN000058,29:11.4,USER0353,MERCHANT0084,133.06,Travel,P2M,Pune,Android,PhonePe,6,Sunday,0,133.06,0
TXN000059,48:38.9,USER0619,MERCHANT0494,252.46,Travel,P2M,Bangalore,ios,PhonePe,10,Sunday,0,252.46,0
TXN000060,08:06.5,USER0271,MERCHANT0160,480.85,Entertainment,P2P,Mumbai,Web,Google Pay,15,Sunday,0,244.17,236.68
TXN000061,27:34.1,USER0827,MERCHANT0056,112.26,Grocery,P2P,Mumbai,Android,BHIM,19,Sunday,0,271.3,-159.04
TXN000062,47:01.6,USER0045,MERCHANT0297,150.56,Travel,Bill Payment,Hyderanbad,Android,Google Pay,23,Sunday,0,150.56,0
TXN000063,06:29.2,USER0748,MERCHANT0014,59.96,Entertainment,Recharge,Mumbai,ios,PhonePe,4,Monday,1,193.21,-133.25
TXN000064,25:56.8,USER0471,MERCHANT0476,54.81,Travel,Recharge,Mumbai,ios,Google Pay,8,Monday,0,54.81,0
TXN000065,45:24.3,USER0550,MERCHANT0160,408.51,Grocery,P2M,Delhi,Android,BHIM,12,Monday,0,244.84,163.67
TXN000066,04:51.9,USER0128,MERCHANT0295,703.62,Grocery,P2M,Pune,Android,PhonePe,17,Monday,0,601.75,101.87
TXN000067,24:19.5,USER0997,MERCHANT0347,168.68,Shopping,Bill Payment,Mumbai,Web,PhonePe,21,Monday,0,168.68,0
TXN000068,43:47.0,USER0945,MERCHANT0465,494.49,Utilities,Bill Payment,Mumbai,Android,PhonePe,1,Tuesday,1,288.27,206.22
TXN000069,03:14.6,USER0388,MERCHANT0491,260.25,Food,P2M,Bangalore,ios,BHIM,6,Tuesday,0,260.25,0
TXN000070,22:42.2,USER0081,MERCHANT0193,95.1,Grocery,P2M,Hyderanbad,Android,Google Pay,10,Tuesday,0,132.95,-37.85
TXN000071,42:09.7,USER0566,MERCHANT0204,260.19,Food,Recharge,Delhi,Android,PhonePe,14,Tuesday,0,227.46,32.73
TXN000072,01:37.3,USER0301,MERCHANT0483,843.9,Shopping,Recharge,Chennai,Web,BHIM,19,Tuesday,0,573.65,270.25
TXN000073,21:04.9,USER0850,MERCHANT0367,174.89,Utilities,Recharge,Chennai,ios,BHIM,23,Tuesday,0,809.61,-634.72
TXN000074,40:32.4,USER0644,MERCHANT0102,866.66,Entertainment,Bill Payment,Hyderanbad,Web,Paytm,3,Wednesday,1,866.66,0
TXN000075,00:00.0,USER0634,MERCHANT0039,13.2,Utilities,Recharge,Bangalore,ios,PhonePe,8,Wednesday,0,13.2,0
TXN000076,19:27.6,USER0907,MERCHANT0304,412.36,Utilities,P2P,Bangalore,ios,BHIM,12,Wednesday,0,385.56,26.8
TXN000077,38:55.1,USER0883,MERCHANT0354,197.76,Entertainment,P2P,Chennai,ios,Google Pay,16,Wednesday,0,151.37,46.39
TXN000078,58:22.7,USER0371,MERCHANT0426,134.42,Shopping,Recharge,Bangalore,ios,BHIM,20,Wednesday,0,671.26,-536.84
TXN000079,17:50.3,USER0592,MERCHANT0322,198.69,Travel,Recharge,Mumbai,ios,BHIM,1,Thursday,1,198.69,0
TXN000080,37:17.8,USER0197,MERCHANT0125,24.84,Utilities,P2M,Chennai,Android,Paytm,5,Thursday,0,257.18,-232.34
TXN000081,56:45.4,USER0722,MERCHANT0053,145.52,Utilities,P2M,Hyderanbad,Android,PhonePe,9,Thursday,0,145.52,0
TXN000082,16:13.0,USER0072,MERCHANT0357,259.07,Shopping,Bill Payment,Hyderanbad,Web,BHIM,14,Thursday,0,174.64,84.43
TXN000083,35:40.5,USER0047,MERCHANT0396,794.64,Travel,P2P,Hyderanbad,Android,Google Pay,18,Thursday,0,794.64,0
TXN000084,55:08.1,USER0678,MERCHANT0155,107.96,Utilities,P2P,Pune,Web,Paytm,22,Thursday,0,578.35,-470.39
TXN000085,14:35.7,USER0234,MERCHANT0436,80.76,Utilities,Bill Payment,Delhi,ios,BHIM,3,Friday,1,141.2,-60.44
TXN000086,34:03.2,USER0792,MERCHANT0351,109.75,Travel,Recharge,Mumbai,Android,Google Pay,7,Friday,0,84.73,25.02
TXN000087,53:30.8,USER0297,MERCHANT0308,452.78,Grocery,Recharge,Delhi,ios,PhonePe,11,Friday,0,452.78,0
TXN000088,12:58.4,USER0082,MERCHANT0413,251.83,Healthcare,Bill Payment,Mumbai,Web,Paytm,16,Friday,0,251.83,0
TXN000089,32:25.9,USER0876,MERCHANT0062,106.72,Entertainment,P2P,Hyderanbad,Android,BHIM,20,Friday,0,106.72,0
TXN000090,51:53.5,USER0239,MERCHANT0408,302.86,Grocery,P2P,Pune,Android,Paytm,0,Saturday,1,223.75,79.11
TXN000091,11:21.1,USER0888,MERCHANT0290,199.75,Healthcare,Recharge,Pune,Web,Google Pay,5,Saturday,0,211.51,-11.76
TXN000092,30:48.6,USER0104,MERCHANT0401,477.54,Entertainment,P2M,Hyderanbad,Android,PhonePe,9,Saturday,0,477.54,0
TXN000093,50:16.2,USER0390,MERCHANT0022,89.83,Entertainment,Bill Payment,Delhi,Web,PhonePe,13,Saturday,0,218.44,-128.61
TXN000094,09:43.8,USER0285,MERCHANT0178,130.63,Healthcare,Bill Payment,Bangalore,Web,PhonePe,18,Saturday,0,90.78,39.85
TXN000095,29:11.4,USER0465,MERCHANT0273,122.47,Utilities,Recharge,Hyderanbad,Android,PhonePe,22,Saturday,0,343.38,-220.91
TXN000096,48:38.9,USER0651,MERCHANT0220,41.95,Entertainment,Bill Payment,Chennai,Android,BHIM,2,Sunday,1,34.28,7.67
TXN000097,08:06.5,USER0855,MERCHANT0339,243.74,Healthcare,P2P,Chennai,Web,Google Pay,7,Sunday,0,160.62,83.12
TXN000098,27:34.1,USER0374,MERCHANT0190,235.35,Food,Recharge,Chennai,ios,Paytm,11,Sunday,0,186.88,48.47
TXN000099,47:01.6,USER0167,MERCHANT0036,182.2,Travel,P2P,Chennai,ios,BHIM,15,Sunday,0,536.98,-354.78
TXN000100,06:29.2,USER0380,MERCHANT0260,143.37,Travel,P2M,Mumbai,Android,Paytm,20,Sunday,0,143.37,0
TXN000101,25:56.8,USER0364,MERCHANT0332,44.02,Food,Bill Payment,Delhi,Android,PhonePe,0,Monday,1,44.02,0
TXN000102,45:24.3,USER0215,MERCHANT0175,119.03,Travel,Bill Payment,Chennai,ios,Google Pay,4,Monday,1,119.03,0
TXN000103,04:51.9,USER0687,MERCHANT0007,128.67,Shopping,P2P,Bangalore,Web,BHIM,9,Monday,0,156.65,-27.98
TXN000104,24:19.5,USER0274,MERCHANT0435,81.27,Healthcare,Recharge,Chennai,Web,Paytm,13,Monday,0,246.42,-165.15
TXN000105,43:47.0,USER0719,MERCHANT0216,154.27,Travel,Recharge,Pune,ios,Paytm,17,Monday,0,144.52,9.75
TXN000106,03:14.6,USER0960,MERCHANT0422,271.52,Travel,Bill Payment,Mumbai,Android,BHIM,22,Monday,0,271.52,0
TXN000107,22:42.2,USER0700,MERCHANT0251,1195.34,Travel,P2P,Pune,Android,Paytm,2,Tuesday,1,1195.34,0
TXN000108,42:09.7,USER0664,MERCHANT0055,215.85,Entertainment,P2M,Mumbai,Android,Paytm,6,Tuesday,0,215.85,0
TXN000109,01:37.3,USER0074,MERCHANT0222,234.52,Grocery,P2P,Bangalore,ios,BHIM,11,Tuesday,0,234.52,0
TXN000110,21:04.9,USER0624,MERCHANT0492,168.27,Shopping,Recharge,Mumbai,ios,Google Pay,15,Tuesday,0,196.68,-28.41
TXN000111,40:32.4,USER0651,MERCHANT0186,26.61,Travel,Bill Payment,Bangalore,ios,BHIM,19,Tuesday,0,34.28,-7.67
TXN000112,00:00.0,USER0176,MERCHANT0326,176.53,Shopping,Bill Payment,Hyderanbad,Web,BHIM,0,Wednesday,1,176.53,0
TXN000113,19:27.6,USER0547,MERCHANT0457,192.53,Entertainment,Bill Payment,Hyderanbad,Web,Google Pay,4,Wednesday,1,114.86,77.67
TXN000114,38:55.1,USER0747,MERCHANT0425,2128.65,Shopping,P2M,Mumbai,Web,Paytm,8,Wednesday,0,1024.51,1104.14
TXN000115,58:22.7,USER0251,MERCHANT0236,149.55,Shopping,P2M,Delhi,Web,BHIM,12,Wednesday,0,285.6,-136.05
TXN000116,17:50.3,USER0168,MERCHANT0363,245.07,Food,Recharge,Chennai,ios,Paytm,17,Wednesday,0,245.07,0
TXN000117,37:17.8,USER0474,MERCHANT0079,175.09,Entertainment,P2P,Chennai,ios,Paytm,21,Wednesday,0,868.12,-693.03
TXN000118,56:45.4,USER0389,MERCHANT0223,56.34,Travel,P2P,Chennai,Web,Paytm,1,Thursday,1,118.4,-62.06
TXN000119,16:13.0,USER0277,MERCHANT0091,568.4,Grocery,P2P,Chennai,Android,BHIM,6,Thursday,0,568.4,0
TXN000120,35:40.5,USER0948,MERCHANT0376,384.5,Grocery,P2M,Pune,ios,Google Pay,10,Thursday,0,197.58,186.92
TXN000121,55:08.1,USER0656,MERCHANT0268,399.83,Healthcare,Bill Payment,Mumbai,ios,PhonePe,14,Thursday,0,399.83,0
TXN000122,14:35.7,USER0705,MERCHANT0495,73.01,Grocery,Recharge,Mumbai,ios,Google Pay,19,Thursday,0,69.71,3.3
TXN000123,34:03.2,USER0571,MERCHANT0334,737.15,Grocery,Recharge,Chennai,Android,BHIM,23,Thursday,0,417.18,319.97
TXN000124,53:30.8,USER0225,MERCHANT0139,44.62,Travel,P2M,Pune,Android,Google Pay,3,Friday,1,147.54,-102.92
TXN000125,12:58.4,USER0702,MERCHANT0316,325.99,Grocery,P2M,Chennai,ios,PhonePe,8,Friday,0,325.99,0
TXN000126,32:25.9,USER0333,MERCHANT0414,1620.44,Entertainment,Bill Payment,Mumbai,Android,Google Pay,12,Friday,0,1620.44,0
TXN000127,51:53.5,USER0864,MERCHANT0471,67.32,Entertainment,Bill Payment,Pune,Android,BHIM,16,Friday,0,181.52,-114.2
TXN000128,11:21.1,USER0787,MERCHANT0276,102.89,Shopping,P2M,Bangalore,Android,Paytm,21,Friday,0,169.82,-66.93
TXN000129,30:48.6,USER0795,MERCHANT0397,200.27,Healthcare,Recharge,Delhi,Web,PhonePe,1,Saturday,1,200.27,0
TXN000130,50:16.2,USER0058,MERCHANT0248,109.57,Food,Bill Payment,Hyderanbad,Android,Google Pay,5,Saturday,0,109.57,0
TXN000131,09:43.8,USER0235,MERCHANT0239,38.45,Utilities,Bill Payment,Hyderanbad,Android,BHIM,10,Saturday,1,198.48,-160.03
TXN000132,29:11.4,USER0842,MERCHANT0224,194.14,Grocery,Recharge,Chennai,Web,PhonePe,14,Saturday,0,194.14,0
TXN000133,48:38.9,USER0033,MERCHANT0423,62.66,Utilities,Bill Payment,Delhi,Android,PhonePe,18,Saturday,0,156.67,-94.01
TXN000134,08:06.5,USER0825,MERCHANT0375,291.08,Utilities,Recharge,Pune,Web,Google Pay,23,Saturday,0,291.08,0
TXN000135,27:34.1,USER0324,MERCHANT0304,72.28,Utilities,P2P,Delhi,Web,BHIM,3,Sunday,1,587.67,-515.39
TXN000136,47:01.6,USER0411,MERCHANT0138,854,Shopping,Bill Payment,Pune,Android,BHIM,7,Sunday,0,518.12,335.88
TXN000137,06:29.2,USER0275,MERCHANT0166,82.83,Entertainment,Bill Payment,Chennai,Android,PhonePe,12,Sunday,0,82.83,0
TXN000138,25:56.8,USER0068,MERCHANT0437,131.36,Grocery,P2P,Delhi,ios,PhonePe,16,Sunday,0,131.36,0
TXN000139,45:24.3,USER0217,MERCHANT0126,408.92,Travel,Recharge,Chennai,Web,Paytm,20,Sunday,0,268.52,140.4
TXN000140,04:51.9,USER0936,MERCHANT0426,52.94,Shopping,Bill Payment,Mumbai,Web,Google Pay,1,Monday,1,52.94,0
TXN000141,24:19.5,USER0966,MERCHANT0479,227.57,Healthcare,P2P,Mumbai,Android,Paytm,5,Monday,0,292.29,-64.72
TXN000142,43:47.0,USER0581,MERCHANT0045,669.91,Entertainment,Recharge,Delhi,ios,PhonePe,9,Monday,0,531.62,138.29
TXN000143,03:14.6,USER0898,MERCHANT0143,36.33,Healthcare,Bill Payment,Bangalore,Web,PhonePe,14,Monday,0,36.33,0
TXN000144,22:42.2,USER0736,MERCHANT0452,218.03,Travel,P2M,Delhi,ios,BHIM,18,Monday,0,158.49,59.54
TXN000145,42:09.7,USER0323,MERCHANT0231,235.07,Healthcare,P2P,Hyderanbad,Web,BHIM,22,Monday,0,235.07,0
TXN000146,01:37.3,USER0218,MERCHANT0125,396.16,Entertainment,Recharge,Mumbai,Web,Paytm,3,Tuesday,1,396.16,0
TXN000147,21:04.9,USER0672,MERCHANT0385,52.62,Grocery,P2M,Delhi,Android,PhonePe,7,Tuesday,0,62.48,-9.86
TXN000148,40:32.4,USER0512,MERCHANT0238,48.4,Shopping,Recharge,Chennai,Web,Google Pay,11,Tuesday,0,48.4,0
TXN000149,00:00.0,USER0406,MERCHANT0292,305.5,Utilities,P2M,Hyderanbad,Android,BHIM,16,Tuesday,0,170.93,134.57
TXN000150,19:27.6,USER0906,MERCHANT0313,243.96,Shopping,P2M,Chennai,Web,BHIM,20,Tuesday,0,151.39,92.57
TXN000151,38:55.1,USER0937,MERCHANT0343,232.87,Shopping,P2P,Mumbai,Android,PhonePe,0,Wednesday,1,232.87,0
TXN000152,58:22.7,USER0659,MERCHANT0195,256.33,Grocery,P2P,Bangalore,Web,Google Pay,4,Wednesday,1,346.1,-89.77
TXN000153,17:50.3,USER0470,MERCHANT0173,91.83,Utilities,P2M,Bangalore,Android,Paytm,9,Wednesday,0,461.62,-369.79
TXN000154,37:17.8,USER0147,MERCHANT0015,228.66,Utilities,P2P,Hyderanbad,Android,Google Pay,13,Wednesday,0,228.66,0
TXN000155,56:45.4,USER0272,MERCHANT0254,243,Food,Recharge,Delhi,Web,PhonePe,17,Wednesday,0,148.86,94.14
TXN000156,16:13.0,USER0143,MERCHANT0436,88.73,Food,Bill Payment,Mumbai,Android,Google Pay,22,Wednesday,0,239.62,-150.89
TXN000157,35:40.5,USER0253,MERCHANT0167,1171.19,Entertainment,Recharge,Bangalore,ios,Google Pay,2,Thursday,1,630.62,540.57
TXN000158,55:08.1,USER0763,MERCHANT0094,291.15,Travel,P2M,Hyderanbad,ios,PhonePe,6,Thursday,0,291.15,0
TXN000159,14:35.7,USER0575,MERCHANT0250,55.08,Food,Recharge,Pune,ios,Paytm,11,Thursday,0,162.35,-107.27
TXN000160,34:03.2,USER0552,MERCHANT0109,349.52,Healthcare,P2M,Delhi,Android,Google Pay,15,Thursday,0,284.63,64.89
TXN000161,53:30.8,USER0270,MERCHANT0182,68.4,Grocery,Recharge,Pune,Web,PhonePe,19,Thursday,0,105.72,-37.32
TXN000162,12:58.4,USER0765,MERCHANT0409,398.25,Shopping,Recharge,Delhi,ios,Google Pay,0,Friday,1,398.25,0
TXN000163,32:25.9,USER0599,MERCHANT0133,577.43,Healthcare,P2P,Mumbai,ios,PhonePe,4,Friday,1,238.16,339.27
TXN000164,51:53.5,USER0439,MERCHANT0175,79.78,Utilities,P2M,Hyderanbad,Web,Paytm,8,Friday,0,112.56,-32.78
TXN000165,11:21.1,USER0920,MERCHANT0144,475.03,Shopping,P2M,Chennai,Android,BHIM,13,Friday,0,380.62,94.41
TXN000166,30:48.6,USER0598,MERCHANT0451,273.9,Grocery,Bill Payment,Chennai,Android,Paytm,17,Friday,0,205.79,68.11
TXN000167,50:16.2,USER0409,MERCHANT0306,412.43,Healthcare,Recharge,Mumbai,Web,BHIM,21,Friday,0,381.07,31.36
TXN000168,09:43.8,USER0371,MERCHANT0360,1208.09,Shopping,Recharge,Pune,Web,BHIM,2,Saturday,1,671.26,536.83
TXN000169,29:11.4,USER0225,MERCHANT0451,141.83,Utilities,Bill Payment,Chennai,Web,Google Pay,6,Saturday,0,147.54,-5.71
TXN000170,48:38.9,USER0142,MERCHANT0142,85.31,Food,P2M,Hyderanbad,Android,PhonePe,10,Saturday,0,215.49,-130.18
TXN000171,08:06.5,USER0522,MERCHANT0285,74.48,Healthcare,Recharge,Mumbai,ios,PhonePe,15,Saturday,0,223.76,-149.28
TXN000172,27:34.1,USER0506,MERCHANT0006,80.17,Travel,Bill Payment,Mumbai,ios,PhonePe,19,Saturday,0,80.17,0
TXN000173,47:01.6,USER0094,MERCHANT0265,167.82,Healthcare,Bill Payment,Mumbai,Web,Paytm,23,Saturday,0,167.82,0
TXN000174,06:29.2,USER0774,MERCHANT0486,254.97,Utilities,Bill Payment,Pune,Android,Paytm,4,Sunday,1,177.91,77.06
TXN000175,25:56.8,USER0049,MERCHANT0098,239.05,Healthcare,Recharge,Mumbai,Web,Paytm,8,Sunday,0,239.05,0
TXN000176,45:24.3,USER0882,MERCHANT0044,414.55,Healthcare,P2M,Bangalore,Web,Paytm,12,Sunday,0,348.32,66.23
TXN000177,04:51.9,USER0113,MERCHANT0124,183.64,Utilities,P2M,Delhi,ios,Google Pay,17,Sunday,0,183.64,0
TXN000178,24:19.5,USER0157,MERCHANT0369,775.52,Utilities,Bill Payment,Bangalore,Web,Google Pay,21,Sunday,0,582.61,192.91
TXN000179,43:47.0,USER0643,MERCHANT0209,139.12,Entertainment,Bill Payment,Pune,Web,BHIM,1,Monday,1,139.12,0
TXN000180,03:14.6,USER0164,MERCHANT0251,2752.24,Entertainment,P2M,Pune,Web,BHIM,6,Monday,0,993.21,1759.03
TXN000181,22:42.2,USER0812,MERCHANT0285,338.89,Utilities,Bill Payment,Mumbai,Android,PhonePe,10,Monday,0,338.89,0
TXN000182,42:09.7,USER0697,MERCHANT0389,76.93,Grocery,Bill Payment,Hyderanbad,ios,Paytm,14,Monday,0,75.92,1.01
TXN000183,01:37.3,USER0433,MERCHANT0124,62.12,Utilities,P2M,Chennai,Android,Google Pay,19,Monday,0,140.09,-77.97
TXN000184,21:04.9,USER0611,MERCHANT0354,293.67,Entertainment,Recharge,Chennai,Web,BHIM,23,Monday,0,306.3,-12.63
TXN000185,40:32.4,USER0066,MERCHANT0244,144.97,Healthcare,Bill Payment,Chennai,Web,PhonePe,3,Tuesday,1,270.54,-125.57
TXN000186,00:00.0,USER0395,MERCHANT0331,370.18,Entertainment,Recharge,Bangalore,Web,PhonePe,8,Tuesday,0,196.39,173.79
TXN000187,19:27.6,USER0391,MERCHANT0365,290.98,Shopping,Bill Payment,Pune,Android,Paytm,12,Tuesday,0,290.98,0
TXN000188,38:55.1,USER0611,MERCHANT0252,168.54,Grocery,Bill Payment,Delhi,ios,Paytm,16,Tuesday,1,306.3,-137.76
TXN000189,58:22.7,USER0480,MERCHANT0230,77.73,Food,Bill Payment,Pune,Android,PhonePe,20,Tuesday,0,77.73,0
TXN000190,17:50.3,USER0542,MERCHANT0406,39.85,Shopping,P2P,Bangalore,Android,Paytm,1,Wednesday,1,175.98,-136.13
TXN000191,37:17.8,USER0258,MERCHANT0009,115.99,Entertainment,Recharge,Chennai,ios,Paytm,5,Wednesday,0,174.89,-58.9
TXN000192,56:45.4,USER0995,MERCHANT0048,426.84,Healthcare,Recharge,Delhi,Android,BHIM,9,Wednesday,0,426.84,0
TXN000193,16:13.0,USER0567,MERCHANT0151,224.55,Shopping,Bill Payment,Delhi,Web,BHIM,14,Wednesday,0,360.21,-135.66
TXN000194,35:40.5,USER0882,MERCHANT0114,52.16,Shopping,P2M,Mumbai,Android,BHIM,18,Wednesday,0,348.32,-296.16
